id,sett_prod,anno,imballo,lotto,desc1,desc2,desc3,q_iniz,mov,magazzino,mv,mo,cv,co,ce,contratto,acquirente,created_at,updated_at,rt,lotto_padre,anno_raccolta,conto_lavoro
51,10,2026,BIG BAG N° 10,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.04,0,0.0966,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
52,10,2026,BIG BAG N° 11,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.0433,0,0.0933,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
53,10,2026,BIG BAG N° 12,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.0533,0,0.1066,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
54,10,2026,BIG BAG N° 13,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.0433,0,0.14,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
55,10,2026,BIG BAG N° 14,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.05,0,0.1266,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
56,10,2026,BIG BAG N° 15,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.0466,0,0.1333,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
57,10,2026,BIG BAG N° 16,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.0366,0,0.16,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
58,12,2026,BIG BAG N° 1,S105/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.0366,0,0.1233,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
59,12,2026,BIG BAG N° 2,S105/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.003,0.0233,0,0.1366,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
60,12,2026,BIG BAG N° 3,S105/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.02,0,0.0933,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
61,12,2026,BIG BAG N° 4,S105/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.0233,0,0.0833,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
62,12,2026,BIG BAG N° 5,S105/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.0166,0,0.0733,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
63,12,2026,BIG BAG N° 6,S105/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.02,0,0.0666,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
64,12,2026,BIG BAG N° 7,S105/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1100,0,Vignanello,0.002,0.0233,0,0.07,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
65,7,2026,BIG BAG,S103/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,990,0,Vignanello,0.365,0,0,0,0.139,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
66,7,2026,BIG BAG,S103/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,872,0,Vignanello,0.392,0,0,0,0.164,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
67,10,2026,BIG BAG,S104/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,931,0,Vignanello,0.356,0,0,0,0.236,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
68,10,2026,BIG BAG,S104/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,949,0,Vignanello,0.413,0,0,0,0.197,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
69,10,2026,BIG BAG,S104/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,1026,0,Vignanello,0.009,0,0,0,0.004,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
70,10,2026,BIG BAG,S104/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,926,0,Vignanello,0.307,0,0,0,0.158,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
71,12,2026,BIG BAG,S105/2025,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,890,0,Vignanello,0.275,0,0,0,0.116,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
72,12,2026,BIG BAG,S105/2025,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,940,0,Vignanello,0.284,0,0,0,0.158,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
73,12,2026,BIG BAG,S105/2025,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,746,0,Vignanello,0.012,0,0,0,0.008,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
74,10,2026,BIG BAG,S102-S103-S104-S105/2025,FAIR FOR LIFE,SCARTI,11/13,665,0,Vignanello,0.365,0.22,0,0.18,0.005,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
75,10,2026,BIG BAG,S102-S103-S104-S105/2025,FAIR FOR LIFE,SCARTI,13/15,653,0,Vignanello,0.329,0.25,0,0.23,0.019,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
76,47,2025,BIG BAG N° 1,SO122025,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.003,0.0366,0,0.0566,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
77,16,2026,BIG BAG N° 1,SO042026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.002,0.015,0,0.035,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
78,16,2026,BIG BAG N° 2,SO042026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.002,0.005,0,0.045,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
79,17,2026,BIG BAG N° 3,SO04/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.001,0.005,0,0.02,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
80,24,2026,BIG BAG N° 1,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.008,0.0433,0,0.0666,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
81,24,2026,BIG BAG N° 2,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.012,0.04,0,0.0233,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
82,24,2026,BIG BAG N° 3,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.013,0.04,0,0.0433,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
83,24,2026,BIG BAG N° 4,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.01,0.0266,0,0.0466,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
84,24,2026,BIG BAG N° 5,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.018,0.0333,0,0.0566,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
88,19,2026,BIG 1,FI1459/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.021,0.0466,0,0.12,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
89,20,2026,BIG 2,FI1459/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.024,0.06,0,0.13,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
90,20,2026,BIG 3,FI1459/2026,CONVENZIONALI,SGUSCIATE,9/11,635,0,Fabbrica,0.024,0.06,0,0.13,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0,,2025,false
86,17,2026,BIG 6,FA04/2026,CONVENZIONALI,SGUSCIATE,9/11,429,0,Fabbrica,0.006,0.02,0,0.0166,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-24T15:33:15.896512+00:00,0.043,,2025,false
91,43,2025,BIG 8,FA10/2025,CONVENZIONALI,SGUSCIATE,11/13,500,0,Fabbrica,0.118,0.08,0,0.0633,0.2,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0.018,,2025,false
92,45,2025,BIG 3,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0366,0,0.0333,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0.009,,2025,false
93,45,2025,BIG 5,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.0366,0,0.04,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0.009,,2025,false
94,48,2025,BIG 6,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.03,0,0.04,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0.008,,2025,false
95,48,2025,BIG 7,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.03,0,0.06,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0.005,,2025,false
96,48,2025,BIG 8,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0333,0,0.02,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0.009,,2025,false
97,49,2025,BIG 9,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,500,0,Fabbrica,0.002,0.04,0,0.04,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0.015,,2025,false
98,49,2025,BIG 11,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.02,0,0.06,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0.013,,2025,false
99,49,2025,BIG 12,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.0266,0,0.03,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0.012,,2025,false
100,49,2025,BIG 13,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.03,0,0.03,0,,,2026-06-23T14:23:25.152235+00:00,2026-06-23T14:23:25.152235+00:00,0.008,,2025,false
101,49,2025,BIG 14,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.0366,0,0.0333,0,,,2026-06-23T14:23:25.43434+00:00,2026-06-23T14:23:25.43434+00:00,0.011,,2025,false
102,49,2025,BIG 15,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.03,0,0.0333,0,,,2026-06-23T14:23:25.43434+00:00,2026-06-23T14:23:25.43434+00:00,0.011,,2025,false
103,50,2025,BIG 17,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0266,0,0.06,0,,,2026-06-23T14:23:25.43434+00:00,2026-06-23T14:23:25.43434+00:00,0.009,,2025,false
104,50,2025,BIG 18,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.004,0.0266,0,0.04,0,,,2026-06-23T14:23:25.43434+00:00,2026-06-23T14:23:25.43434+00:00,0.006,,2025,false
105,50,2025,BIG 19,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.0366,0,0.0433,0,,,2026-06-23T14:23:25.43434+00:00,2026-06-23T14:23:25.43434+00:00,0.008,,2025,false
106,50,2025,BIG 20,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,681,0,Fabbrica,0.006,0.03,0,0.0466,0,,,2026-06-23T14:23:25.43434+00:00,2026-06-23T14:23:25.43434+00:00,0.004,,2025,false
107,17,2026,BIG 21,FA04/2026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.0266,0,0.05,0,,,2026-06-23T14:23:25.43434+00:00,2026-06-23T14:23:25.43434+00:00,0.007,,2025,false
108,17,2026,BIG 22,FA04/2026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0333,0,0.0333,0,,,2026-06-23T14:23:25.43434+00:00,2026-06-23T14:23:25.43434+00:00,0.008,,2025,false
109,17,2026,BIG 23,FA04/2026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.0233,0,0.04,0,,,2026-06-23T14:23:25.43434+00:00,2026-06-23T14:23:25.43434+00:00,0.003,,2025,false
110,17,2026,BIG 24,FA04/2026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.02,0,0.0566,0,,,2026-06-23T14:23:25.43434+00:00,2026-06-23T14:23:25.43434+00:00,0.008,,2025,false
111,17,2026,BIG 25,FA04/2026,CONVENZIONALI,SGUSCIATE,11/13,901,0,Fabbrica,0.003,0.0266,0,0.02,0,,,2026-06-23T14:23:25.43434+00:00,2026-06-23T14:23:25.43434+00:00,0.017,,2025,false
112,18,2026,BIG 26,FA04/2026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.004,0.0566,0,0.05,0,,,2026-06-23T14:23:25.43434+00:00,2026-06-23T14:23:25.43434+00:00,0.03,,2025,false
