id,sett_prod,anno,imballo,lotto,desc1,desc2,desc3,q_iniz,mov,magazzino,mv,mo,cv,co,ce,contratto,acquirente,created_at,updated_at,rt,lotto_padre
36,12,2025,BIG BAG N° 1,S105/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.002,0.0466,0,0.1433,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
37,12,2025,BIG BAG N° 2,S105/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0,0.03,0,0.13,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
38,12,2025,BIG BAG N° 3,S105/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.001,0.02,0,0.0566,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
39,12,2025,BIG BAG N° 4,S105/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.001,0.0133,0,0.0533,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
40,12,2025,BIG BAG N° 5,S105/2025,FAIR FOR LIFE,SGUSCIATE,11/13,962,0,Vignanello,0,0,0,0,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
41,7,2025,BIG BAG N° 15,S103/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.04,0,0.1233,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
42,7,2025,BIG BAG N° 16,S103/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.04,0,0.1633,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
43,10,2025,BIG BAG N° 1,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.03,0,0.1266,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
44,10,2025,BIG BAG N° 2,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.0266,0,0.07,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
45,10,2025,BIG BAG N° 3,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.05,0,0.1166,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
46,10,2025,BIG BAG N° 4,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.03,0,0.1166,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
47,10,2025,BIG BAG N° 5,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.0433,0,0.11,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
48,10,2025,BIG BAG N° 7,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.02,0,0.1033,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
49,10,2025,BIG BAG N° 8,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.04,0,0.09,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
18,43,2025,BIG BAG,VARI,BIOLOGICHE,SCARTI,13/15,560,0,Vignanello,0.359,0.09,0,0.37,0.026000000000000002,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
1,43,2025,BIG BAG N° 3,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,1000,1000,ABC Service,0.001,0.0333,0,0.0966,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
51,10,2025,BIG BAG N° 10,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.04,0,0.0966,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
52,10,2025,BIG BAG N° 11,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.0433,0,0.0933,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
53,10,2025,BIG BAG N° 12,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.0533,0,0.1066,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
54,10,2025,BIG BAG N° 13,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.0433,0,0.14,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
55,10,2025,BIG BAG N° 14,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.05,0,0.1266,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
56,10,2025,BIG BAG N° 15,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.0466,0,0.1333,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
57,10,2025,BIG BAG N° 16,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.0366,0,0.16,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
58,12,2025,BIG BAG N° 1,S105/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.0366,0,0.1233,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
59,12,2025,BIG BAG N° 2,S105/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.003,0.0233,0,0.1366,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
60,12,2025,BIG BAG N° 3,S105/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.02,0,0.0933,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
61,12,2025,BIG BAG N° 4,S105/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.0233,0,0.0833,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
62,12,2025,BIG BAG N° 5,S105/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.0166,0,0.0733,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
63,12,2025,BIG BAG N° 6,S105/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.02,0,0.0666,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
64,12,2025,BIG BAG N° 7,S105/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1100,0,Vignanello,0.002,0.0233,0,0.07,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
65,7,2025,BIG BAG,S103/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,990,0,Vignanello,0.365,0,0,0,0.139,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
66,7,2025,BIG BAG,S103/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,872,0,Vignanello,0.392,0,0,0,0.164,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
67,10,2025,BIG BAG,S104/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,931,0,Vignanello,0.356,0,0,0,0.236,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
68,10,2025,BIG BAG,S104/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,949,0,Vignanello,0.413,0,0,0,0.197,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
69,10,2025,BIG BAG,S104/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,1026,0,Vignanello,0.009,0,0,0,0.004,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
70,10,2025,BIG BAG,S104/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,926,0,Vignanello,0.307,0,0,0,0.158,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
71,12,2025,BIG BAG,S105/2025,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,890,0,Vignanello,0.275,0,0,0,0.116,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
72,12,2025,BIG BAG,S105/2025,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,940,0,Vignanello,0.284,0,0,0,0.158,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
73,12,2025,BIG BAG,S105/2025,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,746,0,Vignanello,0.012,0,0,0,0.008,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
76,47,2025,BIG BAG N° 1,SO122025,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.003,0.0366,0,0.0566,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
77,16,2025,BIG BAG N° 1,SO042026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.002,0.015,0,0.035,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
78,16,2025,BIG BAG N° 2,SO042026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.002,0.005,0,0.045,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
79,17,2025,BIG BAG N° 3,SO04/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.001,0.005,0,0.02,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
