id,sett_prod,anno,imballo,lotto,desc1,desc2,desc3,q_iniz,mov,magazzino,mv,mo,cv,co,ce,contratto,acquirente,created_at,updated_at,rt,lotto_padre,anno_raccolta,conto_lavoro,intragruppo,partner_id
58,49,2025,BIG 12,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.0266,0,0.03,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.012,,2025,false,false,
59,49,2025,BIG 13,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.03,0,0.03,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.008,,2025,false,false,
60,49,2025,BIG 14,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.0366,0,0.0333,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.011,,2025,false,false,
61,49,2025,BIG 15,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.03,0,0.0333,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.011,,2025,false,false,
62,50,2025,BIG 17,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0266,0,0.06,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.009,,2025,false,false,
63,50,2025,BIG 18,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.004,0.0266,0,0.04,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.006,,2025,false,false,
64,50,2025,BIG 19,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.0366,0,0.0433,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.008,,2025,false,false,
65,50,2025,BIG 20,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,681,0,Fabbrica,0.006,0.03,0,0.0466,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.004,,2025,false,false,
70,17,2026,BIG 25,FA04/2026,CONVENZIONALI,SGUSCIATE,11/13,901,0,Fabbrica,0.003,0.0266,0,0.02,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.017,,2025,false,false,
89,25,2026,BIG 44,FA06/2026,CONVENZIONALI,SGUSCIATE,11/13,310,0,Fabbrica,0.008,0.05,0,0.0466,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.018,,2025,false,false,
90,46,2025,BIG BAG N° 2,SO112025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0233,0,0.0633,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0,,2025,false,false,
91,46,2025,BIG BAG N° 3,SO112025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0266,0,0.0633,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0,,2025,false,false,
93,46,2025,BIG BAG N° 6,SO112025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.0266,0,0.0933,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0,,2025,false,false,
